repeticao,tempo_segundos
1,0.00000060
2,0.00000030
3,0.00000020
4,0.00000020
5,0.00000020
6,0.00000010
7,0.00000020
8,0.00000020
9,0.00000010
10,0.00000010
11,0.00000020
12,0.00000020
13,0.00000020
14,0.00000020
15,0.00000020
16,0.00000020
17,0.00000020
18,0.00000020
19,0.00000020
20,0.00000010

Media,0.00000020
DesvioPadrao,0.00000010
