repeticao,tempo_segundos
1,0.00000140
2,0.00000110
3,0.00000080
4,0.00000100
5,0.00000090
6,0.00000080
7,0.00000100
8,0.00000080
9,0.00000080
10,0.00000080
11,0.00000090
12,0.00000090
13,0.00000090
14,0.00000080
15,0.00000090
16,0.00000100
17,0.00000090
18,0.00000080
19,0.00000090
20,0.00000080

Media,0.00000091
DesvioPadrao,0.00000014
